State,Board,Metric,Yesterday,Week,Month,Year
Florida,PIF,PIF,303,42,405,9
Florida,Claims,New Claims,7453,6185,5147,8893
Florida,Claims,Claims Closures,2691,4183,8074,1209
Florida,Claims,Inventory,9716,9368,4108,8049
Florida,Claims,Calls Received,8958,280,129,3773
Florida,Claims,Answer Rate,3965,5993,7363,3782
Florida,Claims,Outbound Calls (as a % of inbound calls),1352,4815,8827,3789
Florida,Claims,Recoveries (Previous Day),9117,4386,2187,9478
Florida,Claims,"PIP Calendar Paid Severity, via the method in JJ's web page",8324,9387,1594,4850
Florida,Claims,"PD Calendar Paid Severity, via the method in JJ's Web page",8243,9146,7007,3454
Florida,Claims,BI Calendar Paid severity...,7503,8722,7671,9300
Florida,Claims,CMP Calendar paid severity,9372,44,9435,8401
Florida,Claims,COL calendar paid severity,9134,8069,8270,7250
Florida,Customer Service,PH Calls,5318,5482,9786,2356
Florida,Customer Service,PH ASA,1128,5592,515,9768
Florida,Customer Service,PH AHT,2822,4323,2747,6391
Florida,Customer Service,PH ABD,2183,7768,6902,4715
Florida,Customer Service,PH Chat,307,1842,1975,7885
Florida,Customer Service,PH Chat Satisfaction,4890,2273,5012,1256
Florida,Customer Service,Agent Calls,2320,9114,7270,4310
Florida,Customer Service,Agent ASA,7023,6658,7260,7826
Florida,Customer Service,Agent AHT,4515,3352,8875,9815
Florida,Customer Service,Agent ABD,6061,2748,2431,7004
Florida,Customer Service,Agent Chat,4129,6396,1875,2781
Florida,Customer Service,Agent Chat Satisfaction,6368,5800,7071,8146
Florida,Shared Services,NB outside standard,8307,3083,1079,216
Florida,Shared Services,ENDO outside standard,6594,9133,2787,6498
Florida,Shared Services,FNOL Calls Received,3347,823,104,6191
Florida,Shared Services,FNOL Abandon,1667,7728,4627,9222
Florida,Shared Services,FNOL ASA,8314,5456,1707,9016
Florida,Shared Services,PHL Calls Received,5717,408,3631,7087
Florida,Shared Services,PHL Abandon,7783,2229,5277,8354
Florida,Shared Services,PHL ASA,8839,7876,8931,8863
Florida,Talent Management,Employees,9195,8007,1551,9329
Florida,Talent Management,Positions Open,6442,1194,1997,6444
Florida,Talent Management,Hires,5829,3679,3092,906
Florida,Talent Management,Resignations,5122,3045,7214,1675
Florida,Talent Management,Interviews,4782,6263,6974,5276
Florida,Legal,New Suits,1818,6621,7551,7186
Florida,Legal,Closed Suits,2777,2047,2375,9083
Florida,Legal,Win %,3403,6927,8621,4983
Florida,Legal,Inventory,5011,4982,2903,8337
Florida,Legal,MSJ served,2253,5443,6129,1041
Florida,Legal,Depos Pending but Scheduled (as a % of open suits),3620,8784,8170,1197
Florida,Legal,Discovery in Process (as a % of open suits),9616,3062,6757,8174
Florida,Product,Number of Quotes,6117,7018,5903,5109
Florida,Product,Number of Submissions,1008,1396,4320,5370
Florida,Product,Ratio of New Policies Bound to Quotes,7207,7614,5160,8010
Florida,Product,Number of new policies written,7792,810,3285,1974
Florida,Product,Average Premium New Business,4192,4995,1971,8021
Florida,Product,Number of Carchex Sold,5215,5752,1286,9714
Florida,Product,Number of policies renewed,9388,7473,3904,2922
Florida,Product,Average Premium Renewal Business,8846,1011,9574,8518
Florida,Product,Retention Ratio,3265,1060,1404,8663
Florida,Product,Highest Hit Ratio by Territory (hit ratio = new policies bound / quotes),398,460,7593,9725
Florida,Product,Frequency of PIP,5892,5546,7532,9791
Florida,Product,Frequency of PD,7495,9174,9220,7868
Florida,Product,Frequency of BI,7864,1629,997,1025
Florida,Product,Frequency of CMP,8947,4996,2569,6784
Florida,Product,Frequency of Col,1358,1847,8379,7544
Florida,Product,Frequency of UMBI,6834,1177,5222,719
Florida,Product,Frequency of UMPD,3940,4265,9922,9702
Florida,Policy Processing,Number of CC Payments Taken,6676,3172,663,5276
Florida,Policy Processing,Number of Bank Payments Taken,6274,2807,5613,8629
Florida,Policy Processing,Number of NSFs,8128,4676,9031,1051
Florida,Policy Processing,Number of Cancellations for non-payment,1606,4779,8307,401
Florida,Policy Processing,Number of late payments,5586,6710,6769,9931
Florida,Policy Processing,Number of reinstatements,5344,9237,2762,2479
Florida,Policy Processing,Fees in dollars,4300,5856,8779,7170
Florida,Policy Processing,Number of refunds,9642,795,2606,7764
Florida,Policy Processing,Number of individual pieces of mail sent,914,3531,2935,3503
Florida,Policy Processing,Number of emails sent by system,7232,9758,5069,412
Florida,Policy Processing,Number of policies with negative equity,5453,5010,9484,1751
